Location ISO Code,Location,City or Regency,Province,Total Regencies,Total Cities,Total Districts
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-JA,Jambi,,Jambi,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-LA,Lampung,,Lampung,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NT,Nusa Tenggara Timur,,Nusa Tenggara Timur,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-AC,Aceh,,Aceh,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-LA,Lampung,,Lampung,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NT,Nusa Tenggara Timur,,Nusa Tenggara Timur,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-AC,Aceh,,Aceh,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NT,Nusa Tenggara Timur,,Nusa Tenggara Timur,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-AC,Aceh,,Aceh,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-LA,Lampung,,Lampung,,,
ID-NB,Nusa Tenggara Barat,,Nusa Tenggara Barat,,,
ID-NT,Nusa Tenggara Timur,,Nusa Tenggara Timur,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-RI,Riau,,Riau,,,
ID-AC,Aceh,,Aceh,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KT,Kalimantan Tengah,,Kalimantan Tengah,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-LA,Lampung,,Lampung,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NB,Nusa Tenggara Barat,,Nusa Tenggara Barat,,,
ID-NT,Nusa Tenggara Timur,,Nusa Tenggara Timur,,,
ID-PA,Papua,,Papua,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-RI,Riau,,Riau,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-AC,Aceh,,Aceh,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-JA,Jambi,,Jambi,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NT,Nusa Tenggara Timur,,Nusa Tenggara Timur,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SN,Sulawesi Selatan,,Sulawesi Selatan,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-AC,Aceh,,Aceh,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-JA,Jambi,,Jambi,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-KT,Kalimantan Tengah,,Kalimantan Tengah,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-LA,Lampung,,Lampung,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NT,Nusa Tenggara Timur,,Nusa Tenggara Timur,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-RI,Riau,,Riau,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-AC,Aceh,,Aceh,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-KS,Kalimantan Selatan,,Kalimantan Selatan,,,
ID-KT,Kalimantan Tengah,,Kalimantan Tengah,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-LA,Lampung,,Lampung,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NT,Nusa Tenggara Timur,,Nusa Tenggara Timur,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-YO,Daerah Istimewa Yogyakarta,,Daerah Istimewa Yogyakarta,,,
ID-AC,Aceh,,Aceh,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-JA,Jambi,,Jambi,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NT,Nusa Tenggara Timur,,Nusa Tenggara Timur,,,
ID-PA,Papua,,Papua,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-AC,Aceh,,Aceh,,,
ID-JA,Jambi,,Jambi,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KS,Kalimantan Selatan,,Kalimantan Selatan,,,
ID-KT,Kalimantan Tengah,,Kalimantan Tengah,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-PA,Papua,,Papua,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-AC,Aceh,,Aceh,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-JA,Jambi,,Jambi,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-KT,Kalimantan Tengah,,Kalimantan Tengah,,,
ID-NB,Nusa Tenggara Barat,,Nusa Tenggara Barat,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-RI,Riau,,Riau,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-AC,Aceh,,Aceh,,,
ID-BA,Bali,,Bali,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-JA,Jambi,,Jambi,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-KS,Kalimantan Selatan,,Kalimantan Selatan,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-LA,Lampung,,Lampung,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NB,Nusa Tenggara Barat,,Nusa Tenggara Barat,,,
ID-PA,Papua,,Papua,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-RI,Riau,,Riau,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-AC,Aceh,,Aceh,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-JA,Jambi,,Jambi,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-PA,Papua,,Papua,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-AC,Aceh,,Aceh,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-JA,Jambi,,Jambi,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KT,Kalimantan Tengah,,Kalimantan Tengah,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-LA,Lampung,,Lampung,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NB,Nusa Tenggara Barat,,Nusa Tenggara Barat,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-AC,Aceh,,Aceh,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-JA,Jambi,,Jambi,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-KS,Kalimantan Selatan,,Kalimantan Selatan,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-LA,Lampung,,Lampung,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NB,Nusa Tenggara Barat,,Nusa Tenggara Barat,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-RI,Riau,,Riau,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SN,Sulawesi Selatan,,Sulawesi Selatan,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-AC,Aceh,,Aceh,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-JA,Jambi,,Jambi,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KS,Kalimantan Selatan,,Kalimantan Selatan,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NB,Nusa Tenggara Barat,,Nusa Tenggara Barat,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-YO,Daerah Istimewa Yogyakarta,,Daerah Istimewa Yogyakarta,,,
ID-AC,Aceh,,Aceh,,,
ID-BA,Bali,,Bali,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-JA,Jambi,,Jambi,,,
ID-JI,Jawa Timur,,Jawa Timur,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KS,Kalimantan Selatan,,Kalimantan Selatan,,,
ID-KT,Kalimantan Tengah,,Kalimantan Tengah,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-LA,Lampung,,Lampung,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-NB,Nusa Tenggara Barat,,Nusa Tenggara Barat,,,
ID-PA,Papua,,Papua,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SN,Sulawesi Selatan,,Sulawesi Selatan,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-YO,Daerah Istimewa Yogyakarta,,Daerah Istimewa Yogyakarta,,,
ID-AC,Aceh,,Aceh,,,
ID-BB,Kepulauan Bangka Belitung,,Kepulauan Bangka Belitung,,,
ID-BE,Bengkulu,,Bengkulu,,,
ID-JA,Jambi,,Jambi,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-KS,Kalimantan Selatan,,Kalimantan Selatan,,,
ID-KT,Kalimantan Tengah,,Kalimantan Tengah,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-LA,Lampung,,Lampung,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-PA,Papua,,Papua,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-RI,Riau,,Riau,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-AC,Aceh,,Aceh,,,
ID-BA,Bali,,Bali,,,
ID-JA,Jambi,,Jambi,,,
ID-KB,Kalimantan Barat,,Kalimantan Barat,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-LA,Lampung,,Lampung,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-RI,Riau,,Riau,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SN,Sulawesi Selatan,,Sulawesi Selatan,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-AC,Aceh,,Aceh,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KT,Kalimantan Tengah,,Kalimantan Tengah,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-PA,Papua,,Papua,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-AC,Aceh,,Aceh,,,
ID-JA,Jambi,,Jambi,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-KT,Kalimantan Tengah,,Kalimantan Tengah,,,
ID-KU,Kalimantan Utara,,Kalimantan Utara,,,
ID-LA,Lampung,,Lampung,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SR,Sulawesi Barat,,Sulawesi Barat,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-YO,Daerah Istimewa Yogyakarta,,Daerah Istimewa Yogyakarta,,,
ID-BA,Bali,,Bali,,,
ID-JA,Jambi,,Jambi,,,
ID-LA,Lampung,,Lampung,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-PA,Papua,,Papua,,,
ID-PB,Papua Barat,,Papua Barat,,,
ID-RI,Riau,,Riau,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SB,Sumatera Barat,,Sumatera Barat,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-YO,Daerah Istimewa Yogyakarta,,Daerah Istimewa Yogyakarta,,,
ID-BA,Bali,,Bali,,,
ID-JA,Jambi,,Jambi,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-KT,Kalimantan Tengah,,Kalimantan Tengah,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-PA,Papua,,Papua,,,
ID-RI,Riau,,Riau,,,
ID-SA,Sulawesi Utara,,Sulawesi Utara,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-ST,Sulawesi Tengah,,Sulawesi Tengah,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-BA,Bali,,Bali,,,
ID-BT,Banten,,Banten,,,
ID-JA,Jambi,,Jambi,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-RI,Riau,,Riau,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-YO,Daerah Istimewa Yogyakarta,,Daerah Istimewa Yogyakarta,,,
ID-BA,Bali,,Bali,,,
ID-BT,Banten,,Banten,,,
ID-JA,Jambi,,Jambi,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-MA,Maluku,,Maluku,,,
ID-MU,Maluku Utara,,Maluku Utara,,,
ID-PA,Papua,,Papua,,,
ID-RI,Riau,,Riau,,,
ID-SG,Sulawesi Tenggara,,Sulawesi Tenggara,,,
ID-SS,Sumatera Selatan,,Sumatera Selatan,,,
ID-SU,Sumatera Utara,,Sumatera Utara,,,
ID-BA,Bali,,Bali,,,
ID-BT,Banten,,Banten,,,
ID-JA,Jambi,,Jambi,,,
ID-KI,Kalimantan Timur,,Kalimantan Timur,,,
ID-KR,Kepulauan Riau,,Kepulauan Riau,,,
ID-MA,Maluku,,Maluku,,,
